Dist to GSO,Time,Hex,DS Type,Flight #,Aircraft_Reg,Aircraft_Type,Altitude Baro,Altitude Geom,Ground Speed,Track,Baro Rate,Squawk,Emergency,Category,Latitude,Longitude,NIC Navigation Integrity Category,RC Navigation Accuracy Category,Seen Position,Version,NIC Baro,NAC P,NAC V,SIL Source Integrity Level ,SIL Type,GVA,SDA System Design Assurance,Alert,SPI,MLAT,TISB,Messages,Seen,RSSI
7.0772047302998935,000240Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1575,1400,125.8,80.39,-256,1200,none,A7,35.98083,-79.955808,9,75,0.217,2,1,10,2,3,perhour,2,2,0,0,[],[],350666,0.2,-17.3
2.7129035390407408,000240Z,a34e01,adsb_icao,JBU2513 ,N3118J,BCS3,36975,38900,527.1,55.04,,7215,none,A3,36.099398,-79.881416,8,186,0.352,2,1,10,1,3,perhour,2,2,0,0,[],[],59929936,0.1,-15.2
0.4712548011189142,000240Z,adda23,mode_s,,N992AT,B712,ground,,0.0,,,5113,none,,,,,,,2,,9,1,3,perhour,,2,,,[],[],42326327,4.2,-22.3
8.59017294798464,000245Z,acd0c2,adsb_icao,PDT5754 ,N925AE,E145,31000,32450,528.1,73.38,0,1770,none,A2,36.163239,-80.094795,8,186,0.295,2,1,9,1,3,perhour,2,2,0,0,[],[],24845999,0.2,-10.2
8.883683962682914,000245Z,a203b0,adsb_icao,AAY1345 ,N229NV,A320,36025,37900,397.8,201.53,64,3447,none,A3,35.964111,-80.015831,8,186,0.224,2,1,10,2,3,perhour,2,2,0,0,[],[],35411638,0.1,-13.7
7.027386017082366,000245Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1575,1400,126.8,80.46,-128,1200,none,A7,35.981323,-79.952145,9,75,0.091,2,1,10,2,3,perhour,2,2,0,0,[],[],350685,0.0,-15.8
3.3851853498439173,000245Z,a34e01,adsb_icao,JBU2513 ,N3118J,BCS3,37000,38925,527.2,54.65,,7215,none,A3,36.106842,-79.868431,8,186,0.066,2,1,10,1,3,perhour,2,2,0,0,[],[],59929992,0.0,-14.9
0.4712548011189142,000245Z,adda23,mode_s,,N992AT,B712,ground,,0.0,,,5113,none,,,,,,,2,,9,1,3,perhour,,2,,,[],[],42326329,1.5,-21.7
8.095445732593827,000250Z,acd0c2,adsb_icao,PDT5754 ,N925AE,E145,31000,32450,527.5,70.74,-64,1770,none,A2,36.167039,-80.080514,8,186,0.375,2,1,9,1,3,perhour,2,2,0,0,[],[],24846043,0.1,-13.9
9.423976376362113,000250Z,a203b0,adsb_icao,AAY1345 ,N229NV,A320,36025,37900,397.2,201.72,0,3447,none,A3,35.955734,-80.019951,8,186,0.218,2,1,10,2,3,perhour,2,2,0,0,[],[],35411686,0.0,-10.2
6.982307454569433,000250Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1575,1400,125.9,79.94,-64,1200,none,A7,35.981827,-79.948769,9,75,0.22,2,1,10,2,3,perhour,2,2,0,0,[],[],350708,0.0,-17.1
4.01442656282919,000250Z,a34e01,adsb_icao,JBU2513 ,N3118J,BCS3,37000,38925,527.0,54.5,,7215,none,A3,36.113504,-79.856873,8,186,0.317,2,1,10,1,3,perhour,2,2,0,0,[],[],59930041,0.2,-16.4
9.707191792933141,000250Z,a0ae33,adsb_icao,DAL2277 ,N143DU,BCS1,34000,35825,413.6,212.46,,1620,none,A3,36.23378,-79.829063,8,186,0.147,2,1,10,1,3,perhour,2,2,0,0,[],[],49754752,0.1,-11.5
0.4712548011189142,000250Z,adda23,mode_s,,N992AT,B712,ground,,0.0,,,5113,none,,,,,,,2,,9,1,3,perhour,,2,,,[],[],42326331,0.8,-21.2
7.651812327033019,000255Z,acd0c2,adsb_icao,PDT5754 ,N925AE,E145,31000,32450,527.4,67.71,64,1770,none,A2,36.171601,-80.065905,8,186,0.204,2,1,9,1,3,perhour,2,2,0,0,[],[],24846083,0.0,-14.4
9.984149324294824,000255Z,a203b0,adsb_icao,AAY1345 ,N229NV,A320,36025,37900,397.2,201.72,0,3447,none,A3,35.947037,-80.024185,8,186,0.151,2,1,10,2,3,perhour,2,2,0,0,[],[],35411729,0.1,-14.3
6.944012381299696,000255Z,a6882d,adsb_icao,N52SH   ,N52SH,B505,1600,1400,125.9,79.94,0,1200,none,A7,35.982285,-79.945507,9,75,0.734,2,1,10,2,3,perhour,2,2,0,0,[],[],350727,0.0,-18.4
4.739354477757775,000255Z,a34e01,adsb_icao,JBU2513 ,N3118J,BCS3,37000,38925,527.0,54.5,,7215,none,A3,36.121033,-79.843941,8,186,0.0,2,1,10,1,3,perhour,2,2,0,0,[],[],59930092,0.0,-17.9
